STN,NAME,DATE,AM/PM,TEMP_MIN,TEMP_AVE,TEMP_MAX,WIND_MIN,WIND_AVE,WIND_MAX,SKY,RAIN_AMT
TL23,서중마을,20210903,AM,24.0,25.0,26.0,5.1,5.2,5.4,4,0.5
TL23,서중마을,20210903,PM,25.0,25.7,26.0,5.1,5.6,5.9,4,0
TL24,제부마을,20210901,AM,22.0,22.5,23.0,5.8,6.3,6.8,4,21
TL24,제부마을,20210901,PM,23.0,23.7,24.0,5.6,6.4,6.8,4,0
TL24,제부마을,20210902,AM,21.0,22.0,23.0,7.1,7.2,7.2,4,0
TL24,제부마을,20210902,PM,23.0,23.3,24.0,6.3,6.7,7.2,4,0
TL24,제부마을,20210903,AM,22.0,23.5,25.0,3.2,4.2,5.2,4,0
TL24,제부마을,20210903,PM,25.0,25.3,26.0,1.0,2.2,3.2,4,0
TL25,병술만마을,20210901,AM,22.0,23.0,24.0,2.4,3.0,3.5,4,45.4
TL25,병술만마을,20210901,PM,23.0,23.7,24.0,2.4,3.7,5.7,4,0
TL25,병술만마을,20210902,AM,22.0,23.0,24.0,7.2,7.2,7.3,4,0
TL25,병술만마을,20210902,PM,23.0,23.7,24.0,7.0,7.1,7.2,4,0
TL25,병술만마을,20210903,AM,22.0,23.5,25.0,3.1,4.5,6.0,4,0
TL25,병술만마을,20210903,PM,24.0,25.0,26.0,1.4,2.1,3.1,4,0
TL26,송계마을,20210901,AM,26.0,26.5,27.0,6.8,7.9,9.1,4,0
TL26,송계마을,20210901,PM,24.0,25.7,27.0,4.0,5.0,6.8,4,3.1
TL26,송계마을,20210902,AM,24.0,24.5,25.0,3.5,4.1,4.7,4,0
TL26,송계마을,20210902,PM,24.0,24.7,25.0,2.5,3.8,4.7,4,5.1
TL26,송계마을,20210903,AM,24.0,25.0,26.0,2.7,3.3,3.9,4,0
TL26,송계마을,20210903,PM,25.0,26.0,27.0,1.7,2.6,3.4,4,0
TL27,국화리마을,20210901,AM,22.0,23.0,24.0,5.1,5.6,6.1,4,30.1
TL27,국화리마을,20210901,PM,23.0,23.7,24.0,5.2,5.8,6.1,4,0
TL27,국화리마을,20210902,AM,21.0,21.0,21.0,6.3,6.5,6.8,4,0
TL27,국화리마을,20210902,PM,21.0,21.3,22.0,6.0,6.4,6.8,4,0
TL27,국화리마을,20210903,AM,22.0,23.5,25.0,3.8,4.5,5.2,4,0
TL27,국화리마을,20210903,PM,25.0,26.0,27.0,1.2,2.4,3.8,4,0
TL28,유포마을,20210901,AM,26.0,27.0,28.0,8.2,8.8,9.5,4,0
TL28,유포마을,20210901,PM,27.0,27.7,28.0,5.9,7.1,8.2,4,0
TL28,유포마을,20210902,AM,22.0,22.0,22.0,5.5,5.5,5.6,4,1.6
TL28,유포마을,20210902,PM,22.0,22.0,22.0,5.6,6.1,6.6,4,3.1
TL28,유포마을,20210903,AM,21.0,22.5,24.0,5.6,6.7,7.7,4,0
TL28,유포마을,20210903,PM,24.0,24.3,25.0,5.2,6.2,7.9,4,0
TL29,대포마을,20210901,AM,27.0,27.5,28.0,4.3,4.9,5.5,4,0
TL29,대포마을,20210901,PM,28.0,28.3,29.0,3.0,3.9,4.4,4,0
TL29,대포마을,20210902,AM,23.0,23.0,23.0,2.5,2.6,2.7,4,1
TL29,대포마을,20210902,PM,23.0,23.3,24.0,2.5,3.2,3.6,4,1.2
TL29,대포마을,20210903,AM,23.0,24.5,26.0,3.1,3.5,3.8,4,0
TL29,대포마을,20210903,PM,25.0,26.0,27.0,2.8,3.2,3.7,4,0
TL30,청용마을,20210901,AM,27.0,27.0,27.0,5.7,6.1,6.5,4,0
TL30,청용마을,20210901,PM,25.0,26.3,27.0,2.9,4.4,5.7,4,5.1
TL30,청용마을,20210902,AM,24.0,24.5,25.0,2.2,2.4,2.6,4,0
TL30,청용마을,20210902,PM,24.0,24.7,25.0,2.2,2.6,3.1,4,5.3
TL30,청용마을,20210903,AM,24.0,25.0,26.0,3.2,3.2,3.3,4,0
TL30,청용마을,20210903,PM,25.0,26.0,27.0,3.3,4.0,4.5,4,0
TL31,백사마을,20210901,AM,28.0,28.0,28.0,4.5,4.7,4.8,4,0
TL31,백사마을,20210901,PM,27.0,27.7,28.0,2.8,4.1,4.8,4,1.9
TL31,백사마을,20210902,AM,25.0,25.5,26.0,1.0,1.2,1.5,4,0
TL31,백사마을,20210902,PM,25.0,25.7,26.0,1.0,1.3,1.9,4,6.1
TL31,백사마을,20210903,AM,24.0,25.0,26.0,3.9,4.0,4.0,4,0.5
TL31,백사마을,20210903,PM,26.0,26.3,27.0,3.9,4.2,4.7,4,0
TL32,장양마을,20210901,AM,27.0,27.5,28.0,4.7,4.8,4.9,4,0
TL32,장양마을,20210901,PM,28.0,28.3,29.0,3.2,4.1,4.7,4,3
TL32,장양마을,20210902,AM,24.0,24.0,24.0,2.4,2.6,2.8,4,0.5
TL32,장양마을,20210902,PM,24.0,24.0,24.0,2.4,2.6,3.0,4,6.4
TL32,장양마을,20210903,AM,24.0,25.0,26.0,4.1,4.2,4.4,4,1
TL32,장양마을,20210903,PM,26.0,26.3,27.0,4.1,4.4,4.6,4,0
TL33,거차마을,20210901,AM,27.0,27.5,28.0,5.5,5.6,5.7,4,0
TL33,거차마을,20210901,PM,28.0,28.3,29.0,3.7,4.7,5.5,4,3.4
TL33,거차마을,20210902,AM,24.0,24.0,24.0,2.9,3.1,3.3,4,0.5
TL33,거차마을,20210902,PM,24.0,24.0,24.0,2.8,3.0,3.4,4,6.5
TL33,거차마을,20210903,AM,24.0,25.0,26.0,4.5,4.7,4.9,4,1
TL33,거차마을,20210903,PM,26.0,26.3,27.0,4.5,4.9,5.4,4,0
TL34,죽림마을,20210901,AM,26.0,26.5,27.0,8.8,9.2,9.5,4,0
TL34,죽림마을,20210901,PM,25.0,26.3,27.0,5.0,6.5,8.8,4,4.2
TL34,죽림마을,20210902,AM,24.0,24.5,25.0,2.9,3.1,3.4,4,0
TL34,죽림마을,20210902,PM,24.0,24.7,25.0,3.0,3.4,3.9,4,4.6
TL34,죽림마을,20210903,AM,24.0,25.0,26.0,5.1,5.5,5.9,4,2
TL34,죽림마을,20210903,PM,25.0,25.7,26.0,5.9,6.9,7.7,4,0
